htid,year,bib_fmt,stratum,tier,ef_genre,title,description
uc1.c2552341,1954,SE,serial,serial,,Field and stream.,v.58 (May 1953-Apr 1954)
osu.32435053092045,1954,SE,serial,serial,,Field and stream.,v.59June 1954
osu.32435053092482,1954,SE,serial,serial,,Field and stream.,v.59July 1954
osu.32435053092433,1954,SE,serial,serial,,Field and stream.,v.59Aug 1954
iau.31858033763800,1954,SE,serial,serial,,Field and stream.,v.58 Nov. 1953-Apr. 1954
uc1.c2552342,1955,SE,serial,serial,,Field and stream.,v.59 1954  MAY-1955  APR
osu.32435053092383,1955,SE,serial,serial,,Field and stream.,v.59Mar 1955
osu.32435023366842,1955,SE,serial,serial,,Field and stream.,v.60May-Oct 1955
uc1.c2552345,1956,SE,serial,serial,,Field and stream.,v.61:1-6 1956 MAY- OCT
osu.32435023366826,1956,SE,serial,serial,,Field and stream.,v.61May-Oct 1956
iau.31858033763826,1956,SE,serial,serial,,Field and stream.,v.60 May 1955-Apr. 1956
uc1.c2552346,1957,SE,serial,serial,,Field and stream.,v.61:7-12 (Nov 1956-Apr 1957)
osu.32435023366800,1957,SE,serial,serial,,Field and stream.,v.62May-Oct 1957
iau.31858033763834,1957,SE,serial,serial,,Field and stream.,v.61 May 1956-Apr. 1957
uc1.c2552349,1958,SE,serial,serial,,Field and stream.,v.63:1-6 1958  MAY- OCT
iau.31858033763842,1958,SE,serial,serial,,Field and stream.,v.62 May 1957-Apr. 1958
uc1.c2552238,1959,SE,serial,serial,,Field and stream.,v.63:7-12 1958  NOV.-1959  APR
osu.32435023366792,1959,SE,serial,serial,,Field and stream.,v.63 1958-1959
iau.31858033763859,1959,SE,serial,serial,,Field and stream.,v.63 May 1958-Apr. 1959
uc1.c2552240,1960,SE,serial,serial,,Field and stream.,v.64:7-12 1959  NOV.-1960  APR
uc1.c2552241,1960,SE,serial,serial,,Field and stream.,v.65:1-6 (May-Oct 1960)
iau.31858033763867,1960,SE,serial,serial,,Field and stream.,v.64 May 1959-Apr. 1960
coo.31924053805614,1960,SE,serial,serial,,Field and stream.,v.65 May-Oct. 1960
osu.32435023366750,1961,SE,serial,serial,,Field and stream.,v.66May-Oct 1961
iau.31858033763875,1961,SE,serial,serial,,Field and stream.,v.65 May 1960-Apr. 1961
coo.31924053805689,1961,SE,serial,serial,,Field and stream.,v.65 Nov. 1960-Apr. 1961
uc1.c2552244,1962,SE,serial,serial,,Field and stream.,v.66:7-12 1961  NOV.-1962  APR
osu.32435023366768,1962,SE,serial,serial,,Field and stream.,v.66Nov-Apr 1961-1962
osu.32435023366735,1962,SE,serial,serial,,Field and stream.,v.67May-Oct 1962
iau.31858071220036,1962,SE,serial,serial,,Field and stream.,v.66 May 1961-Apr. 1962
coo.31924053805705,1962,SE,serial,serial,,Field and stream.,v.67 May-Oct. 1962
mdp.39015079965169,1963,SE,serial,serial,,Field and stream.,v.67 1962-1963
coo.31924053805622,1963,SE,serial,serial,,Field and stream.,v.67 Nov. 1962-Apr. 1963
coo.31924053805713,1963,SE,serial,serial,,Field and stream.,v.68 May-Oct. 1963
mdp.39015079964857,1964,SE,serial,serial,,Field and stream.,v.68 1963-1964
mdp.39015079965003,1965,SE,serial,serial,,Field and stream.,v.69 1964-1965
mdp.39015079965151,1965,SE,serial,serial,,Field and stream.,v.70 1965 May-Oct
mdp.39015079964840,1966,SE,serial,serial,,Field and stream.,v.70 1965-1966 Nov-Apr
mdp.39015079964832,1966,SE,serial,serial,,Field and stream.,v.71 1966 May-Oct
mdp.39015079964824,1967,SE,serial,serial,,Field and stream.,v.71 1966-1967 Nov-Apr
mdp.39015079964816,1968,SE,serial,serial,,Field and stream.,v.72 1967-1968
mdp.39015079964808,1968,SE,serial,serial,,Field and stream.,v.72 1968 no.1-6
mdp.39015079964956,1969,SE,serial,serial,,Field and stream.,v.73 1968-1969 no.7-12
mdp.39015014124658,1970,SE,serial,serial,,Field and stream.,"v.75 1970 May-Sep,Dec"
mdp.39015079964964,1970,SE,serial,serial,,Field and stream.,v.74 1969-1970 no.7-12
mdp.39015079964972,1971,SE,serial,serial,,Field and stream.,v.75 1970-1971 no.7-12
mdp.39015051108010,1972,SE,serial,serial,,Field and stream.,v.76 no.7-12 1971-1972
mdp.39015038666353,1972,SE,serial,serial,,Field and stream.,v.77 1972
mdp.39015038826924,1973,SE,serial,serial,,Field and stream.,v.78 1973 Feb-Nov
mdp.39015020536622,1979,SE,serial,serial,,Field and stream.,v.83 1978-1979
coo.31924053805762,1980,SE,serial,serial,,Field and stream.,v.85 May-Oct. 1980
osu.32435018816991,1944,SE,serial,serial,,Hunting and fishing combined with national sportsman.,v.21 1944
osu.32435018816967,1947,SE,serial,serial,,Hunting and fishing combined with national sportsman.,v.24 1947
osu.32435018816959,1948,SE,serial,serial,,Hunting and fishing combined with national sportsman.,v.25 1948
osu.32435018816942,1949,SE,serial,serial,,Hunting and fishing combined with national sportsman.,v.26 1949
osu.32435018816918,1952,SE,serial,serial,,Hunting and fishing combined with national sportsman.,v.29 1952
osu.32435018816900,1953,SE,serial,serial,,Hunting and fishing combined with national sportsman.,v.30 1953
nyp.33433000735591,1931,SE,serial,serial,,Hunting and fishing.,v. 8 (1931)
nyp.33433000735609,1932,SE,serial,serial,,Hunting and fishing.,v. 9 (1932)
nyp.33433000735617,1933,SE,serial,serial,,Hunting and fishing.,v. 10 (1933)
nyp.33433000735625,1934,SE,serial,serial,,Hunting and fishing.,v. 11 (1934)
nyp.33433000735633,1935,SE,serial,serial,,Hunting and fishing.,v. 12 (1935)
nyp.33433000735641,1936,SE,serial,serial,,Hunting and fishing.,v. 13 (1936)
nyp.33433000735658,1937,SE,serial,serial,,Hunting and fishing.,v. 14 (1937)
nyp.33433000735666,1938,SE,serial,serial,,Hunting and fishing.,v. 15 (1938)
osu.32435018817023,1939,SE,serial,serial,,Hunting and fishing.,v.15-16 1938-1939
nyp.33433000735674,1939,SE,serial,serial,,Hunting and fishing.,v. 16 (1939)
osu.32435018817015,1941,SE,serial,serial,,Hunting and fishing.,v.17-18 1940-1941
osu.32435018817007,1943,SE,serial,serial,,Hunting and fishing.,v.19-20 1942-1943
umn.31951p011241448,1969,SE,serial,serial,,Hunting guide.,1969
umn.31951p011241634,1970,SE,serial,serial,,Hunting guide.,1970
umn.31951p01124142c,1971,SE,serial,serial,,Hunting guide.,1971
umn.31951d02372937f,1972,SE,serial,serial,,Hunting guide.,1972
umn.31951p01124143a,1973,SE,serial,serial,,Hunting guide.,1973
umn.31951p011241618,1974,SE,serial,serial,,Hunting guide.,1974
umn.31951p011241391,1975,SE,serial,serial,,Hunting guide.,1975
umn.31951p01124140g,1976,SE,serial,serial,,Hunting guide.,1976
umn.31951p01124141e,1977,SE,serial,serial,,Hunting guide.,1977
umn.31951p011241456,1979,SE,serial,serial,,Hunting guide.,1979
uc1.b4166724,1946,SE,serial,serial,,"Hunting, fishing and camping / L.L. Bean.",1946
umn.31951t001962896,1945,SE,serial,serial,,Kentucky happy hunting ground.,v.1 (1945)
umn.31951p01054438g,1946,SE,serial,serial,,Kentucky happy hunting ground.,v.1 (1945/46)
umn.31951t00196290l,1947,SE,serial,serial,,Kentucky happy hunting ground.,v.2 (1947)
umn.31951t00196291j,1948,SE,serial,serial,,Kentucky happy hunting ground.,v.4 (1948)
umn.31951t00196292h,1949,SE,serial,serial,,Kentucky happy hunting ground.,v.5 (1949)
umn.31951t00196293f,1950,SE,serial,serial,,Kentucky happy hunting ground.,v.6 (1950)
umn.31951t00196294d,1951,SE,serial,serial,,Kentucky happy hunting ground.,v.7 (1951)
uc1.c2552717,1952,SE,serial,serial,,Kentucky happy hunting ground.,v. 5-8 1949-52
umn.31951t001962969,1953,SE,serial,serial,,Kentucky happy hunting ground.,v.9 (1953)
umn.31951t001962985,1955,SE,serial,serial,,Kentucky happy hunting ground.,v.11 (1955)
umn.31951t001963024,1959,SE,serial,serial,,Kentucky happy hunting ground.,v.15 (1959)
umn.31951t001963040,1961,SE,serial,serial,,Kentucky happy hunting ground.,v.17 (1961)
umn.31951t00196305y,1962,SE,serial,serial,,Kentucky happy hunting ground.,v.18 (1962)
umn.31951t00196308s,1965,SE,serial,serial,,Kentucky happy hunting ground.,v.21 (1965)
umn.31951t001963105,1967,SE,serial,serial,,Kentucky happy hunting ground.,v.23 (1967)
umn.31951t001963121,1969,SE,serial,serial,,Kentucky happy hunting ground.,v.25 (1969)
umn.31951t00196315v,1972,SE,serial,serial,,Kentucky happy hunting ground.,v.28 (1972)
umn.31951t00196316t,1973,SE,serial,serial,,Kentucky happy hunting ground.,v.29 (1973)
umn.31951t00196317r,1974,SE,serial,serial,,Kentucky happy hunting ground.,v.30 (1974)
umn.31951t00196318p,1975,SE,serial,serial,,Kentucky happy hunting ground.,v.31 (1975)
umn.31951t00196319n,1976,SE,serial,serial,,Kentucky happy hunting ground.,v.32 (1976)
umn.31951t001963202,1977,SE,serial,serial,,Kentucky happy hunting ground.,v.33 (1977)
umn.31951t001963210,1978,SE,serial,serial,,Kentucky happy hunting ground.,v.34 (1978)
umn.31951t00196322y,1979,SE,serial,serial,,Kentucky happy hunting ground.,v.35 (1979)
umn.31951p01054437i,1980,SE,serial,serial,,Kentucky happy hunting ground.,v.36:no.1-5 (1980)
coo.31924069771727,1932,SE,serial,serial,,Modern game breeding and hunting club news.,v.1-2 1931-32
nyp.33433000736250,1932,SE,serial,serial,,Modern game breeding and hunting club news.,v. 1-2 (Jul 1931-Dec 1932)
nyp.33433000736268,1934,SE,serial,serial,,Modern game breeding and hunting club news.,v. 3-4 (1933-1934)
coo.31924069771735,1935,SE,serial,serial,,Modern game breeding and hunting club news.,v.3-5 1933-35
nyp.33433000736276,1936,SE,serial,serial,,Modern game breeding and hunting club news.,v. 5-6 (1935-1936)
coo.31924069771743,1938,SE,serial,serial,,Modern game breeding and hunting club news.,v.6-8 1936-38
nyp.33433000736284,1938,SE,serial,serial,,Modern game breeding and hunting club news.,v. 7-8 (1937-1938)
nyp.33433000736300,1940,SE,serial,serial,,Modern game breeding and hunting club news.,v. 9-10 (1939-1940)
coo.31924069771750,1941,SE,serial,serial,,Modern game breeding and hunting club news.,v.9-11 1939-41
nyp.33433000736318,1942,SE,serial,serial,,Modern game breeding and hunting club news.,v. 11-12 (1941-1942)
coo.31924069771768,1944,SE,serial,serial,,Modern game breeding and hunting club news.,v.12-14 1942-44
nyp.33433000736326,1944,SE,serial,serial,,Modern game breeding and hunting club news.,v. 13-14 (1943-1944)
nyp.33433000736334,1946,SE,serial,serial,,Modern game breeding and hunting club news.,v. 15-16 (1945-1946)
coo.31924069771776,1947,SE,serial,serial,,Modern game breeding and hunting club news.,v.15-17 1945-47
nyp.33433000736342,1948,SE,serial,serial,,Modern game breeding and hunting club news.,v. 17-18 (1947-1948)
coo.31924069771784,1950,SE,serial,serial,,Modern game breeding and hunting club news.,v.18-20 1948-50
nyp.33433000736359,1950,SE,serial,serial,,Modern game breeding and hunting club news.,v. 19-20 (1949-1950)
coo.31924069771792,1952,SE,serial,serial,,Modern game breeding and hunting club news.,v.21-22 1951-52
nyp.33433000736367,1952,SE,serial,serial,,Modern game breeding and hunting club news.,v. 21-22 (1951-1952)
nyp.33433000736375,1954,SE,serial,serial,,Modern game breeding and hunting club news.,v. 23-24 (1953-1954)
coo.31924069771800,1956,SE,serial,serial,,Modern game breeding and hunting club news.,v.23-26 1953-56
nyp.33433000736383,1956,SE,serial,serial,,Modern game breeding and hunting club news.,v. 25-26 (1955-1956)
coo.31924069771818,1958,SE,serial,serial,,Modern game breeding and hunting club news.,v.27-28 1957-58
nyp.33433000736391,1958,SE,serial,serial,,Modern game breeding and hunting club news.,v. 27-28 (1957-1958)
coo.31924069771826,1960,SE,serial,serial,,Modern game breeding and hunting club news.,v.29-30 1959-60
nyp.33433000736409,1960,SE,serial,serial,,Modern game breeding and hunting club news.,v. 29-30 (1959-1960)
coo.31924069771834,1962,SE,serial,serial,,Modern game breeding and hunting club news.,v.31-32 1961-62
nyp.33433000736417,1962,SE,serial,serial,,Modern game breeding and hunting club news.,v. 31-32 (1961-1962)
coo.31924069771198,1963,SE,serial,serial,,Modern game breeding and hunting club news.,v.33 1963
nyp.33433000736425,1963,SE,serial,serial,,Modern game breeding and hunting club news.,v. 33 (Jan-May 1963)
coo.31924069340077,1931,SE,serial,serial,,Outdoor life.,v.68 1931
coo.31924069340135,1933,SE,serial,serial,,Outdoor life.,v.72 1933
coo.31924069340069,1933,SE,serial,serial,,Outdoor life.,v.71 1933
coo.31924069340119,1934,SE,serial,serial,,Outdoor life.,v.74 1934
coo.31924069340127,1934,SE,serial,serial,,Outdoor life.,v.73 1934
uc1.c2533063,1939,SE,serial,serial,,Outdoor life.,v.83-84 (1939)
uc1.c2533064,1940,SE,serial,serial,,Outdoor life.,v.85-86 (1940)
uc1.c2533065,1941,SE,serial,serial,,Outdoor life.,v.87-88 (1941)
uc1.c2533066,1942,SE,serial,serial,,Outdoor life.,v.89-90 (1942)
uc1.c2533067,1943,SE,serial,serial,,Outdoor life.,v.91-92 (1943)
uc1.c2533069,1945,SE,serial,serial,,Outdoor life.,v.95-96 (1945)
mdp.39015084410334,1946,SE,serial,serial,,Sports afield.,v.115 no.1 1946 Jan
mdp.39015084410490,1946,SE,serial,serial,,Sports afield.,v.116 no.4 1946 Oct
mdp.39015084410474,1946,SE,serial,serial,,Sports afield.,v.116 no.6 1946 Dec
mdp.39015084410573,1947,SE,serial,serial,,Sports afield.,v.117 no.1-2 1947 Jan-Feb
uc1.c2562737,1950,SE,serial,serial,,Sports afield.,v. 122-123 1949-50
uc1.c2562738,1951,SE,serial,serial,,Sports afield.,v. 124-125 1950-51
uc1.c2562739,1952,SE,serial,serial,,Sports afield.,v. 126-127 1951-52
uc1.c2562740,1953,SE,serial,serial,,Sports afield.,v. 128-129 1952-53
uc1.c2562724,1954,SE,serial,serial,,Sports afield.,v. 130-131 1953-54
uc1.c2562959,1955,SE,serial,serial,,Sports afield.,v. 132-133 1954-55
uc1.c2562741,1955,SE,serial,serial,,Sports afield.,v. 134 1955
uc1.c2562742,1956,SE,serial,serial,,Sports afield.,v. 135 1956
uc1.c2562743,1956,SE,serial,serial,,Sports afield.,v. 136 1956
uc1.c2562744,1957,SE,serial,serial,,Sports afield.,v. 137 1957
uc1.c2562745,1957,SE,serial,serial,,Sports afield.,v. 138 1957
uc1.c2562746,1958,SE,serial,serial,,Sports afield.,v. 139 1958
uc1.c2562747,1958,SE,serial,serial,,Sports afield.,v. 140 1958
uc1.c2562748,1959,SE,serial,serial,,Sports afield.,v. 141 1959
uc1.c2562749,1959,SE,serial,serial,,Sports afield.,v. 142 1959
uc1.c2562750,1960,SE,serial,serial,,Sports afield.,v. 143 1960
uc1.c2562751,1960,SE,serial,serial,,Sports afield.,v. 144 1960
uc1.c2562755,1962,SE,serial,serial,,Sports afield.,v. 148 1962
uc1.c2562757,1963,SE,serial,serial,,Sports afield.,v. 150 1963
nyp.33433009348966,1949,SE,serial,serial,,The Gun digest.,ed. 4 (1949)
nyp.33433009348974,1952,SE,serial,serial,,The Gun digest.,ed. 6 (1952)
uc1.l0068694819,1955,SE,serial,serial,,The Gun digest.,v.09 yr.1955
nyp.33433009348982,1956,SE,serial,serial,,The Gun digest.,ed. 8-10 (1954-1956)
nyp.33433009348990,1959,SE,serial,serial,,The Gun digest.,ed. 12-13 (1958-1959)
osu.32435022698799,1942,SE,serial,serial,,The Sporting goods trade directory.,1942 1942
uva.x004609142,1940,SE,serial,serial,,The international fox hunters' stud book.,v.10 1940
nyp.33433000738553,1931,SE,serial,serial,,The sporting goods directory.,v. 64 (Apr.-Sept. 1931)
nyp.33433000738579,1932,SE,serial,serial,,The sporting goods directory.,v. 66 (Apr.-Sept. 1932)
nyp.33433000738561,1932,SE,serial,serial,,The sporting goods directory.,v. 65 (Oct. 1931-Mar. 1932)
nyp.33433000738595,1933,SE,serial,serial,,The sporting goods directory.,v. 68 (Apr.-Sept. 1933)
nyp.33433000738587,1933,SE,serial,serial,,The sporting goods directory.,v. 67 (Oct. 1932-Mar. 1933)
nyp.33433000738611,1934,SE,serial,serial,,The sporting goods directory.,v. 70 (Apr.-Sept. 1934)
nyp.33433000738603,1934,SE,serial,serial,,The sporting goods directory.,v. 69 (Oct. 1933-Mar. 1934)
nyp.33433000738637,1935,SE,serial,serial,,The sporting goods directory.,v. 72 (Apr.-Sept. 1935)
nyp.33433000738629,1935,SE,serial,serial,,The sporting goods directory.,v. 71 (Oct. 1934-Mar. 1935)
nyp.33433000738652,1936,SE,serial,serial,,The sporting goods directory.,v. 74 (Apr.-Sept. 1936)
nyp.33433000738660,1936,SE,serial,serial,,The sporting goods directory.,v. 75 (Oct.-Dec. 1936)
nyp.33433000738645,1936,SE,serial,serial,,The sporting goods directory.,v. 73 (Oct. 1935-Mar. 1936)
nyp.33433000738694,1937,SE,serial,serial,,The sporting goods directory.,v. 76 (July-Sept. 1937)
nyp.33433000738686,1937,SE,serial,serial,,The sporting goods directory.,v. 76 (Apr.-June 1937)
nyp.33433000738678,1937,SE,serial,serial,,The sporting goods directory.,v. 75 (Jan.-Mar. 1937)
nyp.33433000738702,1937,SE,serial,serial,,The sporting goods directory.,v. 77 (Oct.-Dec. 1937)
nyp.33433000738744,1938,SE,serial,serial,,The sporting goods directory.,v. 79 (Oct.-Dec. 1938)
nyp.33433000738728,1938,SE,serial,serial,,The sporting goods directory.,v. 78 (July-Sept. 1938)
nyp.33433000738736,1938,SE,serial,serial,,The sporting goods directory.,v. 78 (Apr.-July 1938)
nyp.33433000738710,1938,SE,serial,serial,,The sporting goods directory.,v. 77 (Jan.-Mar. 1938)
nyp.33433000738777,1939,SE,serial,serial,,The sporting goods directory.,v. 80 (July-Sept. 1939)
nyp.33433000738769,1939,SE,serial,serial,,The sporting goods directory.,v. 80 (Apr.-June 1939)
nyp.33433000738751,1939,SE,serial,serial,,The sporting goods directory.,v. 79 (Jan.-Mar. 1939)
nyp.33433000738785,1939,SE,serial,serial,,The sporting goods directory.,v. 81 (Oct.-Dec. 1939)
nyp.33433000738801,1940,SE,serial,serial,,The sporting goods directory.,v. 82 (Apr.-June 1940)
nyp.33433000738819,1940,SE,serial,serial,,The sporting goods directory.,v. 82 (July-Sept. 1940)
nyp.33433000738793,1940,SE,serial,serial,,The sporting goods directory.,v. 81 (Jan.-Mar. 1940)
nyp.33433000738827,1940,SE,serial,serial,,The sporting goods directory.,v. 83 (Oct.-Dec. 1940)
nyp.33433000738850,1941,SE,serial,serial,,The sporting goods directory.,v. 84 (July-Sept. 1941)
nyp.33433000738876,1941,SE,serial,serial,,The sporting goods directory.,v. 85 (Oct.-Dec. 1941)
nyp.33433000738843,1941,SE,serial,serial,,The sporting goods directory.,v. 84 (Apr.-June 1941)
nyp.33433000738835,1941,SE,serial,serial,,The sporting goods directory.,v. 83 (Jan.-Mar. 1941)
nyp.33433000738868,1942,SE,serial,serial,,The sporting goods directory.,v. 85 (Jan.-Mar. 1942)
nyp.33433000738900,1942,SE,serial,serial,,The sporting goods directory.,v. 87 (Oct.-Dec. 1942)
nyp.33433000738892,1942,SE,serial,serial,,The sporting goods directory.,v. 86 (July-Sept. 1942)
nyp.33433000738884,1942,SE,serial,serial,,The sporting goods directory.,v. 86 (Apr.-June 1942)
nyp.33433000738926,1943,SE,serial,serial,,The sporting goods directory.,v. 88 (Apr.-June 1943)
nyp.33433000738942,1943,SE,serial,serial,,The sporting goods directory.,v. 89 (Oct.-Dec. 1943)
nyp.33433000738918,1943,SE,serial,serial,,The sporting goods directory.,v. 87 (Jan.-Dec. 1943)
nyp.33433000738934,1943,SE,serial,serial,,The sporting goods directory.,v. 88 (July-Sept. 1943)
nyp.33433000738975,1944,SE,serial,serial,,The sporting goods directory.,v. 90 (July-Sept. 1944)
nyp.33433000738967,1944,SE,serial,serial,,The sporting goods directory.,v. 90 (Apr.-June 1944)
nyp.33433000738959,1944,SE,serial,serial,,The sporting goods directory.,v. 89 (Jan.-Mar. 1944)
nyp.33433000738983,1944,SE,serial,serial,,The sporting goods directory.,v. 91 (Oct.-Dec. 1944)
nyp.33433000739015,1945,SE,serial,serial,,The sporting goods directory.,v. 92 (July-Sept. 1945)
nyp.33433000739007,1945,SE,serial,serial,,The sporting goods directory.,v. 92 (Apr.-June 1945)
nyp.33433000738991,1945,SE,serial,serial,,The sporting goods directory.,v. 91 (Jan.-Mar. 1945)
nyp.33433000739056,1946,SE,serial,serial,,The sporting goods directory.,v. 94 (Nov.-Dec. 1946)
nyp.33433000739049,1946,SE,serial,serial,,The sporting goods directory.,v. 94 (Apr.-May 1946)
nyp.33433000739031,1946,SE,serial,serial,,The sporting goods directory.,v. 93 (Jan.-Mar. 1946)
nyp.33433000739080,1947,SE,serial,serial,,The sporting goods directory.,v. 96 (July-Sept. 1947)
nyp.33433000739098,1947,SE,serial,serial,,The sporting goods directory.,v. 97 (Oct.-Dec. 1947)
nyp.33433000739072,1947,SE,serial,serial,,The sporting goods directory.,v. 96 (Apr.-June 1947)
nyp.33433000739064,1947,SE,serial,serial,,The sporting goods directory.,v. 95 (Jan.-Mar. 1947)
nyp.33433000739148,1948,SE,serial,serial,,The sporting goods directory.,v. 99 (Oct.-Dec. 1948)
nyp.33433000739106,1948,SE,serial,serial,,The sporting goods directory.,v. 97 (Jan.-Mar. 1948)
nyp.33433000739114,1948,SE,serial,serial,,The sporting goods directory.,v. 98 (Apr.-June 1948)
nyp.33433000739122,1948,SE,serial,serial,,The sporting goods directory.,v. 98 (July-Sept. 1948)
nyp.33433000739163,1949,SE,serial,serial,,The sporting goods directory.,v. 100 (July-Sept. 1949)
nyp.33433000739171,1949,SE,serial,serial,,The sporting goods directory.,v. 101 (Oct.-Dec. 1949)
nyp.33433000739130,1949,SE,serial,serial,,The sporting goods directory.,v. 99 (Jan.-Mar. 1949)
nyp.33433000739155,1949,SE,serial,serial,,The sporting goods directory.,v. 100 (Apr.-June 1949)
nyp.33433000739197,1950,SE,serial,serial,,The sporting goods directory.,v. 102 (Apr.-June 1950)
nyp.33433000739189,1950,SE,serial,serial,,The sporting goods directory.,v. 101 (Jan.-Mar. 1950)
nyp.33433006239796,1950,SE,serial,serial,,The sporting goods directory.,v. 103 (Oct.-Dec. 1950)
nyp.33433006239804,1950,SE,serial,serial,,The sporting goods directory.,v. 102 (July-Sept. 1950)
nyp.33433006243269,1951,SE,serial,serial,,The sporting goods directory.,v. 103 (Jan.-Mar. 1951)
nyp.33433006243533,1951,SE,serial,serial,,The sporting goods directory.,v. 104 (Juy-Sept. 1951)
nyp.33433006243277,1951,SE,serial,serial,,The sporting goods directory.,v. 104 (Apr.-June 1951)
nyp.33433006243293,1951,SE,serial,serial,,The sporting goods directory.,v. 105 (Oct.-Dec. 1951)
nyp.33433006243285,1952,SE,serial,serial,,The sporting goods directory.,v. 105 (Jan.-Mar. 1952)
nyp.33433006243327,1952,SE,serial,serial,,The sporting goods directory.,v. 106 (July-Sept. 1952)
nyp.33433006243541,1952,SE,serial,serial,,The sporting goods directory.,v. 106 (Apr.-June1952)
nyp.33433006243319,1952,SE,serial,serial,,The sporting goods directory.,v. 107 (Oct.-Dec. 1952)
nyp.33433006243558,1953,SE,serial,serial,,The sporting goods directory.,v. 108 (July-Sept. 1953)
nyp.33433006243574,1953,SE,serial,serial,,The sporting goods directory.,v. 112 (Apr.-June 1953)
nyp.33433006243723,1953,SE,serial,serial,,The sporting goods directory.,v. 109 (Oct.-Dec. 1953)
nyp.33433006243301,1953,SE,serial,serial,,The sporting goods directory.,v. 108 (Apr.-June 1953)
nyp.33433006243566,1953,SE,serial,serial,,The sporting goods directory.,v. 107 (Jan.-Mar. 1953)
nyp.33433006243731,1954,SE,serial,serial,,The sporting goods directory.,v. 110 (Apr.-June 1954)
nyp.33433006243715,1954,SE,serial,serial,,The sporting goods directory.,v. 109 (Jan.-Mar. 1954)
nyp.33433006243590,1954,SE,serial,serial,,The sporting goods directory.,v. 111 (Oct.-Dec. 1954)
nyp.33433006243343,1954,SE,serial,serial,,The sporting goods directory.,v. 110 (July-Sept. 1954)
nyp.33433006243624,1955,SE,serial,serial,,The sporting goods directory.,v. 113 (Oct.-Dec. 1955)
nyp.33433006243335,1955,SE,serial,serial,,The sporting goods directory.,v. 111 (Jan.-Mar. 1955)
nyp.33433006243582,1955,SE,serial,serial,,The sporting goods directory.,v. 112 (July-Sept. 1955)
nyp.33433006243376,1956,SE,serial,serial,,The sporting goods directory.,v. 113 (Jan.-Mar .1956)
nyp.33433006243012,1957,SE,serial,serial,,The sporting goods directory.,"v. 115, no. 6 (Mar. 1957)"
nyp.33433006243707,1957,SE,serial,serial,,The sporting goods directory.,v. 117 (Oct.-Dec. 1957)
nyp.33433006243459,1957,SE,serial,serial,,The sporting goods directory.,v. 116 (Apr.-June 1957)
nyp.33433006243467,1957,SE,serial,serial,,The sporting goods directory.,v. 116 (July-Sept. 1957)
nyp.33433006243434,1958,SE,serial,serial,,The sporting goods directory.,v. 118 (July-Sept. 1958)
nyp.33433006243699,1958,SE,serial,serial,,The sporting goods directory.,v. 117 (Jan.-Mar. 1958)
nyp.33433006243442,1958,SE,serial,serial,,The sporting goods directory.,v. 118 (Apr.-June 1958)
nyp.33433006243681,1958,SE,serial,serial,,The sporting goods directory.,v. 119 (Oct.-Dec. 1958)
nyp.33433006243673,1959,SE,serial,serial,,The sporting goods directory.,v. 119 (Jan.-Mar. 1959)
nyp.33433006243657,1959,SE,serial,serial,,The sporting goods directory.,v. 121 (Oct.-Dec. 1959)
nyp.33433006243426,1959,SE,serial,serial,,The sporting goods directory.,v. 120 (Apr.-June 1959)
nyp.33433006243418,1959,SE,serial,serial,,The sporting goods directory.,v. 120 (July-Sept. 1959)
nyp.33433006243640,1960,SE,serial,serial,,The sporting goods directory.,v. 123 (Oct.-Dec. 1960)
nyp.33433006243392,1960,SE,serial,serial,,The sporting goods directory.,v. 122 (July-Sept. 1960)
nyp.33433006243400,1960,SE,serial,serial,,The sporting goods directory.,v. 122 (Apr.-June 1960)
nyp.33433006243665,1960,SE,serial,serial,,The sporting goods directory.,v. 121 (Jan.-Mar. 1960)
nyp.33433006243384,1961,SE,serial,serial,,The sporting goods directory.,v. 123-124 (Jan.-Aug. 1961)
