htid,year,stratum,title,reason
mdp.39015005266211,1961,book,"David Garrick, director / with a foreword by Geo. Winchester Stone, Jr.",book: brand name with no gun context (poet/painter/place/horse)
uc1.32106001686234,1961,book,"David Garrick, director / with a foreword by Geo. Winchester Stone, Jr.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015010530692,1968,book,De Staël Du Pont letters; correspondence of Madame de Staël and Pierre Samuel Du Pont de Nemours and of other members of the Necker and Du Pont families / Edited and translated by James F. Marshall.,book: no firearm word or gun-context brand in title
uc1.$b713439,1968,book,De Staël Du Pont letters; correspondence of Madame de Staël and Pierre Samuel Du Pont de Nemours and of other members of the Necker and Du Pont families / Edited and translated by James F. Marshall.,book: no firearm word or gun-context brand in title
mdp.39015012886456,1970,book,"Dear John, dear Coltrane / poems by Michael S. Harper.",book: no firearm word or gun-context brand in title
uiug.30112014285180,1970,book,Dearest Isa; Robert Browning's letters to Isabella Blagden. Edited and with an introd. by Edward C. McAleer.,book: brand name with no gun context (poet/painter/place/horse)
wu.89091239095,1978,book,Deletion mutants in the region of the origin of replication of bacteriophage lambda : construction and functional analysis / by Kelly Kruger.,book: no firearm word or gun-context brand in title
mdp.39015004741776,1939,book,"Deplorable and impious homicide committed by Guido Franceschini against Pietro Comparini, Violante Comparini and Pompilia their accredited daughter / translated by E.H. Yarrill...with an introduction by William O. Raymond...Being Baylor University's Browning interests, series eleven.",book: brand name with no gun context (poet/painter/place/horse)
uc1.c2933178,1958,book,Design and control of strip-beam electron guns / by Kenneth Charles Tucker.,book: gun word is physics or a personal name
mdp.39015046287382,1978,book,Dictionary of twentieth century Italian violin makers / by Marlin Brinser.,book: brand name with no gun context (poet/painter/place/horse)
wu.89093697647,1941,book,Differences in Marlins based on weights and measurements / J.T. Nichols and Francesca R. LaMonte.,book: no firearm word or gun-context brand in title
mdp.39015000888183,1977,book,Differential treatment of drug and alcohol abusers / edited by Carl S. Davis and Marlin Ruth Schmidt ; written by Herbert Cross [and others].,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015072146668,1970,book,Dimensions of nutrition : Proceedings of a conference held at Colorado State University by the Colorado Dietetic Association to commemorate its 40th anniversary / Edited by Jacqueline Dupont.,book: no firearm word or gun-context brand in title
ncs1.ark:/13960/t6f19m74r,1950,book,"Direct colors on cotton / E.I. du Pont de Nemours & Company, Organic Chemicals Department, Dyestuffs Division.",book: no firearm word or gun-context brand in title
nyp.33433093140642,1972,book,"Donaldson. [Genealogical notes on the Donaldson family and its maternal lines, Macfarland, Winchester, Johnston and Dorsey.]",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015027228421,1972,book,Downtown is / by Dawn C. Thomas. Paintings by Colleen Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b3437881,1977,book,"Du Pont de Nemours : apostle of liberty and the promised land / by Pierre Jolly ; translated from the French with some additional paragraphs concerning the historical personages and the happenings mentioned therein composed by the translator, Elise Du Pont Elrick.",book: no firearm word or gun-context brand in title
mdp.39015084454423,1952,book,"Du Pont, the autobiography of an American enterprise; the story of E. I. du Pont de Nemours & Company, published in commemoration of the 150th anniversary of the founding of the company on July 19, 1802.",book: no firearm word or gun-context brand in title
umn.319510007160189,1952,book,"Du Pont, the autobiography of an American enterprise; the story of E. I. du Pont de Nemours & Company, published in commemoration of the 150th anniversary of the founding of the company on July 19, 1802.",book: no firearm word or gun-context brand in title
cub.p101171302003,1952,book,"Du Pont, the autobiography of an American enterprise; the story of E. I. du Pont de Nemours & Company, published in commemoration of the 150th anniversary of the founding of the company on July 19, 1802.",book: no firearm word or gun-context brand in title
mdp.39076005592055,1972,book,Du Pont--the story of a company town / by May G. Munyan. Introd. by Frank L. Green.,book: no firearm word or gun-context brand in title
mdp.39015010681297,1942,book,Du Pont; one hundred and forty years / by William S. Dutton.,book: no firearm word or gun-context brand in title
mdp.39015077928805,1942,book,Du Pont; one hundred and forty years / by William S. Dutton.,book: no firearm word or gun-context brand in title
wu.89059301747,1942,book,Du Pont; one hundred and forty years / by William S. Dutton.,book: no firearm word or gun-context brand in title
pst.000050817870,1942,book,Du Pont; one hundred and forty years / by William S. Dutton.,book: no firearm word or gun-context brand in title
coo.31924002464042,1951,book,Du Pont; one hundred and forty years.,book: no firearm word or gun-context brand in title
uva.x004623169,1967,book,"Dupont Circle, Washington, D.C., by George J. Olszewski.",book: no firearm word or gun-context brand in title
uiug.30112000643640,1952,book,"Dupont, the autobiography of an American enterprise.",book: no firearm word or gun-context brand in title
mdp.39015004068675,1966,book,"Earthly paradise; an autobiography / drawn from her lifetime writings by Robert Phelps. Translated by Herma Briffault, Derek Coltman, and others.",book: no firearm word or gun-context brand in title
mdp.39015011239970,1966,book,"Earthly paradise; an autobiography / drawn from her lifetime writings by Robert Phelps. Translated by Herma Briffault, Derek Coltman, and others.",book: no firearm word or gun-context brand in title
uc1.31822008702953,1979,book,"Ecology and growth of juvenile California spiny lobster, 'Panulirus interruptus' (Randall) / by John Marlin Engle",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015007901021,1968,book,Edgard Varèse / Translated from the French by Derek Coltman.,book: no firearm word or gun-context brand in title
pst.000031636049,1970,book,Effective speaking : a complete course / [by] Arthur N. Kruger.,book: no firearm word or gun-context brand in title
uc1.31210018662138,1979,book,"Effects of point-source discharges and other inputs on water quality in Budd Inlet, Washington / by Dan M. Kruger.",book: no firearm word or gun-context brand in title
uc1.31822010662419,1979,book,Eleatic and Platonic semantics / by Eve Anne Browning,book: brand name with no gun context (poet/painter/place/horse)
uiug.30112089512211,1949,book,Electron guns for an 80 mev. synchrotron / [by] J.M. Lafferty and H.C. Pollock.,book: gun word is physics or a personal name
mdp.49015000999921,1972,book,Elizabeth Barrett Browning / by Virginia L. Radley.,book: brand name with no gun context (poet/painter/place/horse)
inu.30000011901216,1952,book,"Elizabeth Barrett Browning, a life.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015008883749,1952,book,"Elizabeth Barrett Browning, a life.",book: brand name with no gun context (poet/painter/place/horse)
uc1.b3553520,1973,book,"Elizabeth Barrett and the ""Centurion"" : the background to an addition to the Elizabeth Barrett Browning canon / by Robert W. Gladish",book: brand name with no gun context (poet/painter/place/horse)
uc1.b4105488,1955,book,Elizabeth Barrett to Mr. Boyd; unpublished letters of Elizabeth Barrett Browning to Hugh Stuart Boyd. Introduced and edited by Barbara P. McCarthy.,book: brand name with no gun context (poet/painter/place/horse)
uc1.31822043192152,1936,book,"Ellen Browning Scripps, 1836-1936",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015076386500,1959,book,"Ellen Browning Scripps, woman of vision.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015025921902,1964,book,"En souvenir: the Du Pont family during an era of transition, 1763-1826.",book: no firearm word or gun-context brand in title
coo.31924014066348,1945,book,"English domestic needlework of the XVI, XVII, and XVIII centuries, by Preston Remington, curator of renaissance and modern art.",book: brand name with no gun context (poet/painter/place/horse)
uc1.31158006479538,1973,book,English poetry from Blake to Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b4147851,1974,book,"Environmental steel; pollution in the iron and steel industry, researched and written by James S. Cannon. Edited by Jean M. Halloran. Assisted by Joseph Adams. Advisors: Alice Tepper Marlin [and] Stephen Moody.",book: brand name with no gun context (poet/painter/place/horse)
uc1.x28766,1966,book,Enzymic browning in peaches.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015035564148,1970,book,Every man heart lay down / by Lorenz Graham. Pictures by Colleen Browning.,book: brand name with no gun context (poet/painter/place/horse)
dul1.ark:/13960/s2gfw530xnn,1962,book,"Excavations at Nessana [conducted by Harris Dunscombe Colt, Jr.]",book: brand name with no gun context (poet/painter/place/horse)
dul1.ark:/13960/s2m2fwd2fhd,1962,book,"Excavations at Nessana [conducted by Harris Dunscombe Colt, Jr.]",book: brand name with no gun context (poet/painter/place/horse)
dul1.ark:/13960/s2b4tpq0rmp,1962,book,"Excavations at Nessana [conducted by Harris Dunscombe Colt, Jr.]",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015010705179,1962,book,"Excavations at Nessana [conducted by Harris Dunscombe Colt, Jr.]",book: brand name with no gun context (poet/painter/place/horse)
uc1.31175027796518,1976,book,Experimental facilities for the conduct of bioassay and growth studies for fish and other aquatic animals / by John Colt and George Tchobanoglous.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015015178323,1980,book,"Experimental organic chemistry / H. Dupont Durst, George W. Gokel.",book: no firearm word or gun-context brand in title
wu.89038762522,1972,book,Experiments and principles of systems engineering. Edited by Marlin H. Mickle [and others],book: brand name with no gun context (poet/painter/place/horse)
uc1.$b74136,1938,book,"Exterior ballistics; a reprint of chapter x, Exterior ballistics, and chapter XII, Bombing from airplanes, from Elements of ordnance, prepared under the direction of Lieutenant Colonel Thomas J. Hayes ...",book: no firearm word or gun-context brand in title
uc1.c2944481,1962,book,External control of xenon induced flux oscillations in nuclear reactors / by Gary Marlin Sandquist.,book: brand name with no gun context (poet/painter/place/horse)
coo.31924003615907,1971,book,Factors affecting the browning of Tren (apple juice-egg drink),book: brand name with no gun context (poet/painter/place/horse)
pst.000004329527,1977,book,"Favorite Vermont ski inns & lodging guide / Janet Colter, Rudyard Colter ; illustrated by Janet Colter.",book: no firearm word or gun-context brand in title
uc1.31210001704426,1939,book,"Federal military intervention in civil disturbances, by Marlin S. Reichley.",book: brand name with no gun context (poet/painter/place/horse)
umn.31951000011629i,1979,book,Financial management for the hospitality industry / Michael M. Coltman.,book: no firearm word or gun-context brand in title
coo.31924020578518,1935,book,"Fine French and English furniture; important bronzes: a Houdin ""Sabine"" bust, Rodin & Barye works, three Remington equestrian groups, sold by order of the noted explorer Harold McCracken.  Valuable Brussels and Aubusson tapestries ... property of the estate of the late Emma Rockefeller McAlpin ... C",book: brand name with no gun context (poet/painter/place/horse)
inu.30000084069529,1961,book,"First three wagon trains: to California, 184l, to Oregon, 1842, to Washington, 1853, by John Bidwell, Hubert Howe Bancroft [and] James Longmire. Pictures by Frederic Remington and others.",book: brand name with no gun context (poet/painter/place/horse)
uva.35007000986434,1980,book,"Fisheries of the North Pacific : history, species gear & processes / by Robert J. Browning ; with editorial assistance and review by Bruce J. Cole ... [et al.]",book: brand name with no gun context (poet/painter/place/horse)
mdp.39076006485978,1974,book,"Fisheries of the North Pacific: history, species, gear & processes / by Robert J. Browning. With editorial assistance and review by Dayton L. Alverson [and others.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015015683827,1965,book,"Five artists of the Old West: George Catlin, Karl Bodmer, Alfred Jacob Miller, Charles M. Russell [and] Frederic Remington / by Clide Hollmann. With reproductions of the artists' paintings.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015000519051,1974,book,"Flannery O'Connor / [by] Preston M. Browning, Jr. With a pref. by Harry T. Moore.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002150657,1974,book,"Flannery O'Connor / [by] Preston M. Browning, Jr. With a pref. by Harry T. Moore.",book: brand name with no gun context (poet/painter/place/horse)
uc1.31970029595177,1980,book,"Food habits of California upland game birds / by William E. Grenfell, Bruce M. Browning, and Walter E. Stienecker",book: brand name with no gun context (poet/painter/place/horse)
uc1.c2870891,1952,book,Foraminifera from the Upper Santa Susana shale / by John Leverett Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015005010072,1965,book,Forever in joy : the life of Robert Browning / by Rosemary Sprague.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015024455571,1940,book,"Forty years with Russians / by Ethan T. Colton, foreword by John R. Mott.",book: no firearm word or gun-context brand in title
uiug.30112106772418,1968,book,Fossil marine mammals from the Miocene Calvert Formation of Maryland and Virginia / Remington Kellogg.,book: brand name with no gun context (poet/painter/place/horse)
uiug.30112106772426,1968,book,Fossil marine mammals from the Miocene Calvert Formation of Maryland and Virginia / Remington Kellogg.,book: brand name with no gun context (poet/painter/place/horse)
uiug.30112106772434,1968,book,Fossil marine mammals from the Miocene Calvert Formation of Maryland and Virginia / Remington Kellogg.,book: brand name with no gun context (poet/painter/place/horse)
osu.32435029595618,1968,book,Fossil marine mammals from the Miocene Calvert Formation of Maryland and Virginia / Remington Kellogg.,book: brand name with no gun context (poet/painter/place/horse)
osu.32435075234617,1968,book,Fossil marine mammals from the Miocene Calvert Formation of Maryland and Virginia / Remington Kellogg.,book: brand name with no gun context (poet/painter/place/horse)
umn.31951001068076w,1978,book,Four experiments on underlining as a review aid for college students / by William Graham Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.$b362852,1947,book,"Frederic Remington : (bibliographical check list) and more fact and fiction of the old West and the wild West / Mannados Bookshop, E. W. Latendorf.",book: brand name with no gun context (poet/painter/place/horse)
txu.059173023505317,1971,book,Frederic Remington and the Spanish-American War.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015033270995,1971,book,Frederic Remington and the Spanish-American War.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015011680801,1978,book,Frederic Remington and the West : with the eye of the mind / by Ben Merchant Vorpahl.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015017652374,1960,book,Frederic Remington's own West / written and illustrated by Frederic Remington ; edited and with an introduction by Harold McCracken.,book: brand name with no gun context (poet/painter/place/horse)
uva.x000610135,1960,book,Frederic Remington's own West / written and illustrated by Frederic Remington ; edited and with an introduction by Harold McCracken.,book: brand name with no gun context (poet/painter/place/horse)
uc1.$b362851,1943,book,"Frederic Remington, a painter of American life ...",book: brand name with no gun context (poet/painter/place/horse)
wu.89086115052,1947,book,"Frederic Remington, artist of the Old West : with a bibliographical check list of Remington pictures and books, Introd. by James Chillman, Jr.",book: brand name with no gun context (poet/painter/place/horse)
uva.x001045959,1947,book,"Frederic Remington, artist of the Old West;",book: brand name with no gun context (poet/painter/place/horse)
uc1.31822006017578,1947,book,"Frederic Remington, artist of the Old West; with a bibliographical check list of Remington pictures and books.  Introd. by James Chillman, Jr",book: brand name with no gun context (poet/painter/place/horse)
mdp.49015002662279,1978,book,"Frederic Remington, the American West : an official publication of the American Museum of Natural History / selected and edited by Philip R. St. Clair.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015014426111,1943,book,"Frederic, Remington, a painter of American life.",book: brand name with no gun context (poet/painter/place/horse)
wu.89050668078,1943,book,"Frederic, Remington, a painter of American life.",book: brand name with no gun context (poet/painter/place/horse)
cub.u183073495541,1955,book,Fur bearers of Colorado / by Jack D. Remington.,book: brand name with no gun context (poet/painter/place/horse)
uva.x006119456,1977,book,G. Ruger Donoho (1857-1916) : a retrospective exhibition.,book: brand name with no gun context (poet/painter/place/horse)
wu.89066147554,1979,book,"Gardner and allied families : Brown, Carson, Clyburn, Du Pont, Guerri, Guild, Ingram, Knight, Michau, Ogburn, Plyler, Rembert, Wells, Welsh / by William Leonard Gardner.",book: no firearm word or gun-context brand in title
mdp.39015008805858,1971,book,Gates to Asia: a diary from a long journey / [by] Jan Myrdal and Gun Kessle. Translated from the Swedish by Paul Britten Austin.,book: gun word is physics or a personal name
nyp.33433085501074,1962,book,Genealogy of the Trainer-Booth families / compiled by Caroline Okie Browning Trainer.,book: brand name with no gun context (poet/painter/place/horse)
nyp.33433068135056,1943,book,"Genealogy of the du Pont family, 1739-1949.",book: no firearm word or gun-context brand in title
nyp.33433068135064,1943,book,"Genealogy of the du Pont family, 1739-1949.",book: no firearm word or gun-context brand in title
mdp.39015039699908,1933,book,"General synopsis of treaties of arbitration, conciliation, judicial settlement, security and disarmament, actually in force between countries invited to the disarmament conference / by Francis Colt De Wolf.",book: brand name with no gun context (poet/painter/place/horse)
uc1.b4385924,1973,book,"Generative man: psychoanalytic perspectives, by Don S. Browning.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002646928,1973,book,"Generative man: psychoanalytic perspectives, by Don S. Browning.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015003826180,1973,book,"Generative man: psychoanalytic perspectives, by Don S. Browning.",book: brand name with no gun context (poet/painter/place/horse)
wu.89031195688,1977,book,Genetics : a survey of the principles of heredity / A. M. Winchester.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015000286248,1972,book,Genetics: a survey of the principles of heredity / [by] A. M. Winchester.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015015217717,1966,book,Genetics; a survey of the principles of heredity / [by] A.M. Winchester.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015008508114,1971,book,"German baroque poetry, 1618-1723 / [by] Robert M. Browning.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002282245,1978,book,German poetry in the Age of the Enlightenment : from Brockes to Klopstock / Robert M. Browning.,book: brand name with no gun context (poet/painter/place/horse)
uva.x000164118,1978,book,German poetry in the Age of the Enlightenment : from Brockes to Klopstock / Robert M. Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b4951487,1978,book,German poetry in the Age of the Enlightenment : from Brockes to Klopstock / Robert M. Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015063185873,1941,book,"Glory, glory, hallelujah! / by Irvin S. Cobb ; illustrated by F.R. Gruger.",book: no firearm word or gun-context brand in title
uc1.$b248909,1941,book,"Glory, glory, hallelujah! / by Irvin S. Cobb ; illustrated by F.R. Gruger.",book: no firearm word or gun-context brand in title
uc1.31175005434124,1980,book,"Gnomic poetry in Anglo-Saxon / edited with introduction, notes and glossary by Blanche Colton Williams.",book: no firearm word or gun-context brand in title
mdp.39015015665162,1979,book,Gothic painting / text by Jacques Dupont and Cesare Gnudi ; [translated by Stuart Gilbert].,book: no firearm word or gun-context brand in title
mdp.39015000960156,1940,book,"Graphs, how to make and use them / by Herbert Arkin and Raymond R. Colton.",book: no firearm word or gun-context brand in title
uc1.$b546137,1936,book,"Graphs, how to make and use them, by Herbert Arkin ... and Raymond R. Colton ...",book: no firearm word or gun-context brand in title
mdp.39015068103038,1936,book,"Graphs, how to make and use them, by Herbert Arkin ... and Raymond R. Colton ...",book: no firearm word or gun-context brand in title
mdp.39015030932209,1933,book,"Great American short stories : O. Henry Memorial Prize winning stories, 1919-1932 / with an introduction by Blanche Colton Williams.",book: no firearm word or gun-context brand in title
uiug.30112029043384,1972,book,"Guide for municipal zoning administration, with forms, by R. Marlin Smith, Clyde W. Forrest and Eric C. Freund.",book: brand name with no gun context (poet/painter/place/horse)
wu.89066144783,1979,book,"Gumption : being a genealogical and historical perspective of the ancestors of Howard Remington Furman, Sr. / [compiled by Howard Remington Furman, Jr.]",book: brand name with no gun context (poet/painter/place/horse)
uc1.32106010257621,1976,book,HDC recommendations submitted to the City of Santa Cruz Housing Advisory Committee / prepared by Scott Coltrane.,book: no firearm word or gun-context brand in title
uiug.30112088952277,1955,book,"Handbook of favorite dances, compiled and arranged by Ed and Elsie Bossing. Illus. by Frank Colton.",book: no firearm word or gun-context brand in title
coo.31924009728910,1940,book,"Handbook of northern Arizona pottery wares, by Harold Sellers Colton and Lyndon Lane Hargrave. Supplement no. 1.  Colored plates of San Juan red ware and Tsegi orange ware, by Virgil Hubert.",book: no firearm word or gun-context brand in title
coo.31924090189279,1978,book,He saw a hummingbird / Norma Lee Browning and Russell Ogg.,book: brand name with no gun context (poet/painter/place/horse)
uc1.x14355,1979,book,High pressure liquid chromatographic separation of amadori compounds in model maillard browning systems.,book: brand name with no gun context (poet/painter/place/horse)
wu.89067597054,1975,book,"History of Winchester, Massachusetts / Henry Smith Chapman ; drawings by W. H. W. Bicknell.",book: brand name with no gun context (poet/painter/place/horse)
wu.89067597062,1975,book,"History of Winchester, Massachusetts / Henry Smith Chapman ; drawings by W. H. W. Bicknell.",book: brand name with no gun context (poet/painter/place/horse)
ien.35556006727671,1976,book,Homage to Robert Browning / by Aleph Tanner.,book: brand name with no gun context (poet/painter/place/horse)
coo.31924001677909,1979,book,Homotopy types of certain finite cw-complexes with finite fundamental group / by Wesley James Browning.,book: brand name with no gun context (poet/painter/place/horse)
wu.89075350926,1938,book,"Hoofbeats : drawings and comments / by Warren T. Halpin. Introductions: Polo, by Stewart B. Iglehart; Hunting, by Henry G. Vaughan; Steeplechasing, by William Du Pont, Jr.",book: no firearm word or gun-context brand in title
pst.000027594711,1978,book,Hospitality management accounting / Michael M. Coltman.,book: no firearm word or gun-context brand in title
cub.u183001047819,1954,book,How do I love thee? / by Norman Dello Joio ; text adapted from the poem by Elizabeth B. Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015027614299,1953,book,How do I love thee? The story of Elizabeth Barrett Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b4098777,1953,book,How do I love thee? The story of Elizabeth Barrett Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.31210005077431,1950,book,How the Du Pont organization appraises its performance:,book: no firearm word or gun-context brand in title
uc1.$b220466,1972,book,How to select/use/troubleshoot cassette and cartridge recorders [by] Murray P. Rosenthal.,book: no firearm word or gun-context brand in title
mdp.39015018098668,1979,book,"How to train singers : featuring illustrated ""natural"" techniques and exercises / Larra Browning Henderson.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015041886733,1971,book,Human genetics / A. M. Winchester.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015004323401,1975,book,Human genetics / A. M. Winchester.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015001651408,1973,book,Human sexuality: nursing implications / Compiled by Mary H. Browning and Edith P. Lewis.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002054792,1968,book,"Hurricanes, storms, tornadoes / [by] James H. Winchester.",book: brand name with no gun context (poet/painter/place/horse)
uc1.x28806,1966,book,Hydroxymethylfurfural and furfural browning in sulfured and unsulfured fruit products.,book: brand name with no gun context (poet/painter/place/horse)
uva.x000174079,1980,book,"Images of the past : a photographic review of Winchester and Frederick County, Virginia / photos selected and researched by Michael Foreman ... [et al.].",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015000796865,1976,book,Immunobiology of bone marrow transplantation / edited by Bo Dupont and Robert A. Good.,book: no firearm word or gun-context brand in title
uc1.c3529759,1977,book,Impacts and demand responses of selected traffic management strategies / A.J. Kruger.,book: no firearm word or gun-context brand in title
uc1.c3529760,1977,book,Impacts and demand responses of selected traffic management strategies / A.J. Kruger.,book: no firearm word or gun-context brand in title
wu.89097634513,1935,book,In desert and wilderness / by Henryk Sienkiewicz ; translated from the Polish by Max A. Drezmal ; with illustrations by Remington Schuyler.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015069745704,1965,book,"In the United States Court of Appeals, United States of America, plaintiff and respondent, v.David Browning, defendant and appellant, no. 19876. Appellant's opening brief: appeal from judgment of the United States District Court, Honorable Bruce H. Thompson, judge. James R. White III, court appointe",book: brand name with no gun context (poet/painter/place/horse)
wu.89042085282,1972,book,In the marketplace; consumerism in America. Edited by editors of Ramparts with Frank Browning.,book: brand name with no gun context (poet/painter/place/horse)
umn.319510000162728,1972,book,In the marketplace; consumerism in America. Edited by editors of Ramparts with Frank Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015014426129,1961,book,"Inaugural exhibition, January 21, 1961 Selected works [of] Frederic Remington and Charles Marion Russell.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015036875162,1974,book,Index to 8mm motion cartridges.,book: no firearm word or gun-context brand in title
mdp.39015004198225,1941,book,"Indian-fighting army / [by] Fairfax Downey, illustrated from drawings by Frederic Remington, Charles Schreyvogel and R. F. Zogbaum.",book: brand name with no gun context (poet/painter/place/horse)
buf.39072022051035,1966,book,Individual weapons and marksmanship.,book: no firearm word or gun-context brand in title
mdp.39015000309388,1980,book,"Infections of the gastrointestinal tract : microbiology, pathophysiology, and clinical features / Herbert L. DuPont and Larry K. Pickering.",book: no firearm word or gun-context brand in title
uc1.b4333525,1976,book,Infectious diseases of the fetus and newborn infant / edited by Jack S. Remington and Jerome O. Klein,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015000266018,1976,book,Infectious diseases of the fetus and newborn infant / edited by Jack S. Remington and Jerome O. Klein,book: brand name with no gun context (poet/painter/place/horse)
uc1.x30537,1971,book,Influence of the browning reaction on the availability of amino acids to microorganisms.,book: brand name with no gun context (poet/painter/place/horse)
mdp.49015000142035,1973,book,Instructor's manual to accompany methods of social research by Kenneth D. Bailey / Jill Kiecolt.,book: no firearm word or gun-context brand in title
mdp.39015003436246,1973,book,Instrumentation in applied nuclear chemistry / Edited by Jan Krugers. Contributors: Joel B. Ayers [and others],book: no firearm word or gun-context brand in title
coo.31924004702647,1962,book,"Instrumentation scale-up from laboratory to pilot plant to production : proceedings of the 1962 symposium, April 9-10, 1962, Du Pont Country Club, Wilmington, Delaware / sponsored by Instrument Society of America, Wilmington Section.",book: no firearm word or gun-context brand in title
mdp.39015035214801,1977,book,Integral operator methods in the theory of wave propagation and heat conduction / by David Colton.,book: no firearm word or gun-context brand in title
uiug.30112101465380,1978,book,"Interim report, September 25, 1978 / principal investigator, Richard D. Remington.",book: brand name with no gun context (poet/painter/place/horse)
uc1.x30346,1969,book,Internal browning of Thompson seedless grapes as influenced by growth regulator treatment and storage.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b4579836,1969,book,"Interrogating the oracle; a history of the London Browning Society, by William S. Peterson.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002672486,1969,book,"Interrogating the oracle; a history of the London Browning Society, by William S. Peterson.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015032328190,1934,book,Intimate glimpses from Browning's letter file : selected from letters in the Baylor University Browning collection / assembled by A. Joseph Armstrong ; with an introd. by Roland A. Young.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015064403507,1936,book,Introduction to college physics / [by] John Remington Hobbie.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b3754067,1964,book,"Introduction to infrared and Raman spectroscopy [by] Norman B. Colthup, Lawrence H. Daly [and] Stephen E. Wiberley.",book: no firearm word or gun-context brand in title
mdp.39015016059761,1972,book,Introduction to molecular energies and spectra / [by] Marlin D. Harmony.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015000449390,1965,book,Introduction to physical gas dynamics. By Walter G. Vincenti and Charles H. Kruger.,book: no firearm word or gun-context brand in title
hvd.hn2y51,1947,book,"Irénée Bonfils [on the religion of his forefathers and of our forefathers] Published in Paris 1808, translated by Pierre S. Du Pont.",book: no firearm word or gun-context brand in title
uc1.$b580723,1961,book,"Issues, problems & approaches in the teaching of English, edited by George Winchester Stone, Jr.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39076006084938,1977,book,"J. A. M., Junior Art Museum / Lynn R. Colter.",book: no firearm word or gun-context brand in title
nyp.33333080762616,1954,book,Jaro and the golden colt / by Margaret Phelps ; illustrated by Evelyn Copelman.,book: brand name with no gun context (poet/painter/place/horse)
pst.000053749468,1973,book,Jesus and the nonviolent revolution. / Translated by Michael H. Shank and Marlin E. Miller. With introd. by Marlin E. Miller.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015057494257,1976,book,John Coltrane / by Bill Cole.,book: no firearm word or gun-context brand in title
mdp.39015007946380,1976,book,John Coltrane / by Bill Cole.,book: no firearm word or gun-context brand in title
uc1.$b539219,1940,book,"John White Geary, soldier-statesman, 1819-1873, by Harry Marlin Tinkcom.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015037504886,1969,book,"John of Mirfield (d. 1407). Surgery. A translation of his Breviarium Bartholomei, pt. IX / by James B. Colton, 2nd. With an introd. by Frank B. Berry.",book: no firearm word or gun-context brand in title
mdp.39015028780537,1975,book,"Joint lives, Elizabeth Barrett and Robert Browning : a selection of works from the Henry W. and Albert A. Berg Collection of English and American Literature / [compiled] by John D. Gordan ; with a foreword by Lola L. Szladits.",book: brand name with no gun context (poet/painter/place/horse)
